"Domanda","Risposta"
"Cos'è la Linux Foundation (LF)?","È la casa leader mondiale per la collaborazione su software open source, hardware, standard e dati."
"Cos'è la Cloud Native Computing Foundation (CNCF)?","È una fondazione software open source sotto l'ombrello della Linux Foundation dedicata a rendere il cloud native computing universale e sostenibile."
"Come definisce la CNCF il termine 'cloud native'?","Le tecnologie Cloud native consentono alle organizzazioni di creare ed eseguire applicazioni scalabili in ambienti moderni e dinamici come cloud pubblici, privati e ibridi. Container, service mesh, microservizi, infrastruttura immutabile e API dichiarative esemplificano questo approccio."
"Qual è la differenza principale tra architettura monolitica e a microservizi?","L'architettura monolitica ha una singola base di codice e viene distribuita come un singolo binario, mentre l'architettura a microservizi è composta da molteplici applicazioni disaccoppiate che comunicano tra loro in rete."
"Cosa si intende per 'Vertical Scaling'?","Descrive il cambiamento nelle dimensioni dell'hardware sottostante (modifica di CPU e RAM)."
"Cosa si intende per 'Horizontal Scaling'?","Descrive il processo di generazione di nuove risorse di elaborazione, come nuove copie del processo applicativo o macchine virtuali."
"Di quale tipo di scaling si parla quando si parla di Autoscaling?","Parlando di Autoscaling parliamo di Horizontal Scaling."
"Qual è l'idea alla base del serverless computing?","Sollevare gli sviluppatori da compiti complicati come la preparazione e configurazione di risorse come rete, macchine virtuali, sistemi operativi e load balancer."
"Cos'è l'Open Container Initiative (OCI)?","Fornisce tre standard che definiscono il modo in cui costruire ed eseguire container: image-spec, runtime-spec e distribution-spec."
"Quali sono i 3 standard forniti da OCI?","image-spec, runtime-spec, distribution-spec."
"Cos'è la Container Network Interface (CNI)?","Una specifica su come implementare il networking per i container."
"Cos'è la Container Runtime Interface (CRI)?","Una specifica su come implementare i runtime dei container nei sistemi di orchestrazione dei container."
"Cos'è la Container Storage Interface (CSI)?","Una specifica su come implementare lo storage nel sistema di orchestrazione dei container."
"Quali sono le 4C della sicurezza Cloud Native?","Codice (Code), Container, Cluster, Cloud (/Co-Lo/Corporate Datacenter)."
"Quali sono i due componenti principali di un sistema di orchestrazione di container?","Un control plane responsabile della gestione dei container e dei worker node che ospitano effettivamente i container."
"Cos'è una Service Mesh?","Una service mesh aggiunge un server proxy a ogni container in un'architettura per gestire il traffico di rete tra di loro."
"Da cosa è composto il 'data plane' in una service mesh?","È formato dai proxy che implementano le regole di rete e modellano il flusso del traffico."
"Da cosa è composto il 'control plane' in una service mesh?","È il componente che gestisce centralmente le regole che vengono distribuite al data plane."
"Come fanno i container a persistere i dati?","Utilizzando un 'volume', che mappa una directory dell'host nel filesystem del container."
"Quali sono i due tipi di server Node in un cluster Kubernetes?","Control plane node(s) e Worker nodes."
"Quali sono i componenti principali del Control Plane di Kubernetes?","kube-apiserver, etcd, kube-scheduler, kube-controller-manager."
"Quali sono i componenti principali di un Worker Node di Kubernetes?","container runtime, kubelet, kube-proxy."
"Cos'è un Namespace in Kubernetes?","Un modo per dividere un cluster in molteplici cluster virtuali, utile per la multi-tenancy."
"Qual è lo strumento a riga di comando per interagire con un cluster Kubernetes?","kubectl"
"Qual è la più piccola unità di calcolo in Kubernetes?","Il Pod."
"Cosa condivide un gruppo di container all'interno di un Pod?","Un indirizzo IP e, potenzialmente, il filesystem tramite volumi."
"Cos'è un container 'sidecar'?","Un secondo container che supporta l'applicazione principale all'interno dello stesso Pod."
"Quali sono le fasi del ciclo di vita di un Pod?","Pending, Running, Succeeded, Failed, Unknown."
"Cos'è un ReplicaSet?","Un oggetto controller che assicura che un numero desiderato di Pod sia in esecuzione in qualsiasi momento."
"Cos'è un Deployment?","Un oggetto che gestisce il ciclo di vita completo di un'applicazione, gestendo molteplici ReplicaSet per implementare aggiornamenti."
"Per quale tipo di applicazioni sono ideali i Deployment?","Applicazioni stateless."
"Cos'è uno StatefulSet?","Un oggetto controller utilizzato per eseguire applicazioni stateful come i database, mantenendo identità stabili per i Pod."
"Cos'è un DaemonSet?","Un oggetto che assicura che una copia di un Pod sia in esecuzione su tutti (o alcuni) Node del cluster."
"Cos'è un Job?","Un oggetto che crea uno o più Pod per eseguire un compito specifico e poi terminare."
"Cos'è un CronJob?","Un oggetto che esegue Job periodicamente in base a una schedulazione."
"Qual è lo scopo di un oggetto Service in Kubernetes?","Fornire un singolo endpoint stabile (un IP virtuale) per un set di Pod."
"Quali sono i principali tipi di Service in Kubernetes?","ClusterIP, NodePort, LoadBalancer, ExternalName."
"Cos'è un oggetto Ingress?","Un oggetto che gestisce l'accesso esterno ai servizi in un cluster, tipicamente HTTP e HTTPS."
"Cosa fa una NetworkPolicy?","Controlla il flusso di traffico tra i Pod a livello di indirizzo IP o porta (firewall interno al cluster)."
"Cos'è un PersistentVolume (PV)?","Una descrizione astratta per una porzione di storage nel cluster."
"Cos'è una PersistentVolumeClaim (PVC)?","Una richiesta di storage da parte di un utente, che viene soddisfatta da un PersistentVolume disponibile."
"Come si possono gestire le configurazioni delle applicazioni in Kubernetes?","Tramite ConfigMap (per dati non sensibili) e Secret (per dati sensibili come password e token)."
"Cos'è un Horizontal Pod Autoscaler (HPA)?","Un meccanismo che scala automaticamente il numero di repliche di un Pod in base all'utilizzo di CPU o a metriche personalizzate."
"Cos'è il Cluster Autoscaler?","Un componente che aggiunge o rimuove automaticamente worker node al cluster in base alla domanda di risorse."
"Cosa sono i 'Taints' e le 'Tolerations'?","I Taints vengono applicati ai Node per respingere i Pod, mentre le Tolerations vengono applicate ai Pod per consentire loro di essere schedulati su Node con Taint corrispondenti."
"Cos'è RBAC in Kubernetes?","Role-Based Access Control, il meccanismo di autorizzazione predefinito per controllare chi può eseguire quali operazioni su quali risorse."
"Qual è la differenza tra un Role e un ClusterRole?","Un Role definisce permessi all'interno di un singolo namespace, mentre un ClusterRole definisce permessi a livello di intero cluster."
"Cosa fa un RoleBinding?","Associa un Role a un soggetto (utente, gruppo o ServiceAccount) all'interno di un namespace."
"Cosa fa un ClusterRoleBinding?","Associa un ClusterRole a un soggetto a livello di cluster."
"Cos'è un ServiceAccount?","Fornisce un'identità per i processi che vengono eseguiti all'interno di un Pod."
"Cosa sono gli Admission Controllers?","Componenti che intercettano le richieste all'API server di Kubernetes prima che un oggetto venga reso persistente, ma dopo che la richiesta è stata autenticata e autorizzata. Possono validare o modificare le richieste."
"Cos'è la Continuous Integration (CI)?","La pratica di costruire e testare permanentemente il codice scritto in modo automatizzato."
"Cos'è la Continuous Delivery (CD)?","La pratica di automatizzare il deployment del software pre-costruito in vari ambienti (Staging, Produzione)."
"Cos'è GitOps?","Un paradigma per la gestione dell'infrastruttura e delle applicazioni in cui Git è la singola fonte di verità. Un agente monitora un repository Git e applica le modifiche desiderate al sistema."
"Quali sono i tre tipi di dati di telemetria (osservabilità)?","Logs, Metriche (Metrics), Tracce (Traces)."
"Quali sono i due stream di I/O standard utilizzati per il logging nei container?","Standard output (stdout) e standard error (stderr)."
"Qual è il comando kubectl per visualizzare i log di un pod?","kubectl logs [nome-pod]"
"Qual è il comando kubectl per visualizzare i log di un precedente container terminato in un pod?","kubectl logs -p [nome-pod]"
"Qual è il comando kubectl per visualizzare le ultime 20 righe di log di un pod?","kubectl logs --tail=20 [nome-pod]"
"Cos'è Prometheus?","Un sistema di monitoraggio open source che raccoglie metriche come dati di serie temporali."
"Quali sono i 4 tipi di metriche principali di Prometheus?","Counter, Gauge, Histogram, Summary."
"Cos'è PromQL?","Il linguaggio di query utilizzato per interrogare i dati nel database di serie temporali di Prometheus."
"Cos'è Grafana?","Uno strumento comunemente usato con Prometheus per costruire dashboard e visualizzare le metriche."
"Cos'è Jaeger?","Un sistema di tracciamento distribuito open source per monitorare e risolvere i problemi delle architetture basate su microservizi."
"Cos'è OpenTelemetry?","Un insieme di API, SDK e strumenti per integrare la telemetria (metriche, log e tracce) nelle applicazioni e nelle infrastrutture."
